"key","plural1","plural2","plural3","plural4","plural5","plural6","value"
"do not remove or edit row above, even though it looks wrong"

"Global.score","Wertung"
"route.presence.edit.hint.handle.facebook","For www.facebook.com/<strong>platform</strong> the handle is '<strong>platform</strong>'<br/>For pages without vanity URLs, the handle is the long number in the URL, eg www.facebook.com/pages/My-Facebook-Page/<strong>012345678901234</strong>"
"route.presence.edit.hint.handle.twitter","For www.twitter.com/<strong>platform</strong> the handle is '<strong>platform</strong>'"
"route.presence.edit.hint.handle.instagram","For www.instagram.com/<strong>platform</strong> the handle is '<strong>platform</strong>'"
"route.presence.edit.hint.handle.youtube","For www.youtube.com/channel/<strong>platform</strong> the handle is '<strong>platform</strong>'"
"route.presence.edit.hint.handle.linkedin","Use the name of the company, as it appears on its page. E.g. for <a href=""https://www.linkedin.com/company/1337"" target=""_blank"">LinkedIn themselves</a>, the handle is '<strong>LinkedIn</strong>'"
"route.presence.edit.hint.handle.sinaweibo","Use the name of the account, as it appears on its page. E.g. for <a href=""http://www.weibo.com/u/2463797455"" target=""_blank"">BBC World</a>, the handle is '<strong>BBCWorld</strong>'"
"route.presence.edit.hint.size","Size will affect the weighting of a presence when calculating the target for its popularity.<br/>Size will only affect presences that belong to SBU.<br/>Large presences in an SBU will take a larger share of the SBU's target population, Medium presences a smaller share, and Small presences an even smaller share."
"route.presence.edit.access-token.title","Access Token"
"route.presence.edit.access-token.message","Diese Art von Auftritt benötigt ein Access Token um die Daten zu laden"
"route.presence.edit.access-token.has-user.message","Dieser Auftritt nutzt aktuell ein Access Token des folgenden Benutzers: <strong>%name%</strong>"
"route.presence.edit.access-token.no-user.message","Dieser Auftritt hat aktuell kein Access Token und kann deshalb nicht geladen werden."
"route.presence.edit.access-token.button","Use your access token"

"route.presence.report.page-title","Social Media Monitor Bericht"




"route.user.index.page-title","Benutzer"

"route.user.linkedin.page-title","Bei LinkedIn einloggen"
"route.user.linkedin.message.success","Linkedin Account wurde verknüpft"

"route.user.login.page-title","Einloggen"
"route.user.login.message.cannot-login","Incorrect username/password or email has not been confirmed"
"route.user.login.message.cannot-login","Passwort und Nutzername waren nicht korrekt oder die Email wurde noch nicht bestätigt"

"route.user.logout.message.success","Ausgeloggt"

"route.user.delete.message.success","Benutzer wurde gelöscht"

"route.user.forgotten.page-title","Passwort vergessen"
"route.user.forgotten.message.missing-username-email","Benutzername oder Email eingeben"
"route.user.forgotten.message.user-not-found","Benutzer konnte nicht gefunden werden"
"route.user.forgotten.message.password-reset-email-sent","Sie erhalten in kürze eine Email mit einem Link zum Zurücksetzen ihres Passwortes"
"route.user.forgotten.message.password-reset-failed-email","Email kontte nicht gesendet werden.<br />Bitte benachrichtigen Sie einen Administrator um ihr Passwort zurückzusetzen"

"route.user.reset-password.page-title","Passwort ändern"
"route.user.reset-password.message.both-passwords-required","Beide Passwörter sind erforderlich"
"route.user.reset-password.message.password-mismatch","Die Passwörter stimmen nicht überein"
"route.user.reset-password.message.passwords-too-short","Das Passwort muss mindestens 4 Buchstaben enthalten"
"route.user.reset-password.message.success","Passwort wurde erfolgreich geändert"
"route.user.reset-password.message.incorrect-user-key","Falsche Kombination von Name und Schlüssel"

"route.user.register.page-title","Benutzer registrieren"
"route.user.register.registration-successful","Registrierung erfolgreich"
"route.user.register.email.subject","Sie haben sich erfolgreich registriert"
